Customer Review,Date Of Stay,Customer Rating,Owner Responded,Lemmatized Tokens,lemmatized
excellent highly recommend spend night leave want return time staying property consider par season mandarin room appoint staff excellent go way stay enjoyable breakfast excellent variety delicious special thank vinayak team last impression mr rathore management fine,11/22,Excellent,False,"['excellent', 'highly', 'recommend', 'spend', 'night', 'leave', 'want', 'return', 'time', 'staying', 'property', 'consider', 'par', 'season', 'mandarin', 'room', 'appoint', 'staff', 'excellent', 'go', 'way', 'stay', 'enjoyable', 'breakfast', 'excellent', 'variety', 'delicious', 'special', 'thank', 'vinayak', 'team', 'last', 'impression', 'mr', 'rathore', 'management', 'fine']",excellent highly recommend spend night leave want return time staying property consider par season mandarin room appoint staff excellent go way stay enjoyable breakfast excellent variety delicious special thank vinayak team last impression mr rathore management fine
favourite whilst visit recently refurbish extremely high standard staff act complete professionalism stay brief manage eat chef taste menu brilliant second visit upgrade free charge celebrate engagement room huge bouquet flower cake petal fill bath order room service restaurant quality fault amazing example hospitality,08/22,Excellent,True,"['favourite', 'whilst', 'visit', 'recently', 'refurbish', 'extremely', 'high', 'standard', 'staff', 'act', 'complete', 'professionalism', 'stay', 'brief', 'manage', 'eat', 'chef', 'taste', 'menu', 'brilliant', 'second', 'visit', 'upgrade', 'free', 'charge', 'celebrate', 'engagement', 'room', 'huge', 'bouquet', 'flower', 'cake', 'petal', 'fill', 'bath', 'order', 'room', 'service', 'restaurant', 'quality', 'fault', 'amazing', 'example', 'hospitality']",favourite whilst visit recently refurbish extremely high standard staff act complete professionalism stay brief manage eat chef taste menu brilliant second visit upgrade free charge celebrate engagement room huge bouquet flower cake petal fill bath order room service restaurant quality fault amazing example hospitality
stay 2 night new upgrade presidential suite treat like royalty opulent service spot spectacular chance eat breakfast food delicious provide broad spectrum choice highly recommend oberois base experience new rathambore jaipur agra unique simply fabulous,11/22,Excellent,False,"['stay', '2', 'night', 'new', 'upgrade', 'presidential', 'suite', 'treat', 'like', 'royalty', 'opulent', 'service', 'spot', 'spectacular', 'chance', 'eat', 'breakfast', 'food', 'delicious', 'provide', 'broad', 'spectrum', 'choice', 'highly', 'recommend', 'oberois', 'base', 'experience', 'new', 'rathambore', 'jaipur', 'agra', 'unique', 'simply', 'fabulous']",stay 2 night new upgrade presidential suite treat like royalty opulent service spot spectacular chance eat breakfast food delicious provide broad spectrum choice highly recommend oberois base experience new rathambore jaipur agra unique simply fabulous
good quality service food notch quality spread breakfast good best south indian breakfast service heart feel compliment management ensure,12/22,Excellent,True,"['good', 'quality', 'service', 'food', 'notch', 'quality', 'spread', 'breakfast', 'good', 'best', 'south', 'indian', 'breakfast', 'service', 'heart', 'feel', 'compliment', 'management', 'ensure']",good quality service food notch quality spread breakfast good best south indian breakfast service heart feel compliment management ensure
service food location cleanliness excellent good hotel spa pool gym restaurant amazing t waste time compare hotel stay regret decision,12/22,Excellent,True,"['service', 'food', 'location', 'cleanliness', 'excellent', 'good', 'hotel', 'spa', 'pool', 'gym', 'restaurant', 'amazing', 't', 'waste', 'time', 'compare', 'hotel', 'stay', 'regret', 'decision']",service food location cleanliness excellent good hotel spa pool gym restaurant amazing t waste time compare hotel stay regret decision
new beautiful property tranquil setting make hard believe middle big city dining option wonderful fantastic service property room spacious comfortable amazing view,11/22,Excellent,True,"['new', 'beautiful', 'property', 'tranquil', 'setting', 'make', 'hard', 'believe', 'middle', 'big', 'city', 'dining', 'option', 'wonderful', 'fantastic', 'service', 'property', 'room', 'spacious', 'comfortable', 'amazing', 'view']",new beautiful property tranquil setting make hard believe middle big city dining option wonderful fantastic service property room spacious comfortable amazing view
absolutely perfect place stay want awesome suite room 501 wrap view 2 bathroom kitchen eat 2x baoshaun floor u need break indian food bit eat baoshaun upperclassman chinese impeccable service excellent place eat service notch,12/22,Excellent,True,"['absolutely', 'perfect', 'place', 'stay', 'want', 'awesome', 'suite', 'room', '501', 'wrap', 'view', '2', 'bathroom', 'kitchen', 'eat', '2x', 'baoshaun', 'floor', 'u', 'need', 'break', 'indian', 'food', 'bit', 'eat', 'baoshaun', 'upperclassman', 'chinese', 'impeccable', 'service', 'excellent', 'place', 'eat', 'service', 'notch']",absolutely perfect place stay want awesome suite room 501 wrap view 2 bathroom kitchen eat 2x baoshaun floor u need break indian food bit eat baoshaun upperclassman chinese impeccable service excellent place eat service notch
warmth staff 360 reception housekeeping heartwarming make feel like home urmila ingtipi particularly care smile eager stay comfortable joy meet view room 8th floor spectacular course food delicious staff restaurant kitchen account allergy snd preference craft delicious meal wonderful stay,11/22,Excellent,True,"['warmth', 'staff', '360', 'reception', 'housekeeping', 'heartwarming', 'make', 'feel', 'like', 'home', 'urmila', 'ingtipi', 'particularly', 'care', 'smile', 'eager', 'stay', 'comfortable', 'joy', 'meet', 'view', 'room', '8th', 'floor', 'spectacular', 'course', 'food', 'delicious', 'staff', 'restaurant', 'kitchen', 'account', 'allergy', 'snd', 'preference', 'craft', 'delicious', 'meal', 'wonderful', 'stay']",warmth staff 360 reception housekeeping heartwarming make feel like home urmila ingtipi particularly care smile eager stay comfortable joy meet view room 8th floor spectacular course food delicious staff restaurant kitchen account allergy snd preference craft delicious meal wonderful stay
stay 3 time november 2022 comfort service unserpassed staff attentive pleasant deal resturant provide wonderful food bed comfortable slept party arrive ill doctor immediately available treatment excellent health return day future stay,11/22,Excellent,True,"['stay', '3', 'time', 'november', '2022', 'comfort', 'service', 'unserpassed', 'staff', 'attentive', 'pleasant', 'deal', 'resturant', 'provide', 'wonderful', 'food', 'bed', 'comfortable', 'slept', 'party', 'arrive', 'ill', 'doctor', 'immediately', 'available', 'treatment', 'excellent', 'health', 'return', 'day', 'future', 'stay']",stay 3 time november 2022 comfort service unserpassed staff attentive pleasant deal resturant provide wonderful food bed comfortable slept party arrive ill doctor immediately available treatment excellent health return day future stay
favorite world genuinely great service amenitite food exceptional gem new beautifully maintain sparklingly enviroment difficult air quality filtration system difference area outdoor air quality challenge gym spa salon absolutly worth visit appoint exceptional level service laundry butler service exceptional 360 resturant excellent job please wide array taste need genuinely cosmopolitan dining room personally enjoy great deal ill come I m new,11/22,Excellent,True,"['favorite', 'world', 'genuinely', 'great', 'service', 'amenitite', 'food', 'exceptional', 'gem', 'new', 'beautifully', 'maintain', 'sparklingly', 'enviroment', 'difficult', 'air', 'quality', 'filtration', 'system', 'difference', 'area', 'outdoor', 'air', 'quality', 'challenge', 'gym', 'spa', 'salon', 'absolutly', 'worth', 'visit', 'appoint', 'exceptional', 'level', 'service', 'laundry', 'butler', 'service', 'exceptional', '360', 'resturant', 'excellent', 'job', 'please', 'wide', 'array', 'taste', 'need', 'genuinely', 'cosmopolitan', 'dining', 'room', 'personally', 'enjoy', 'great', 'deal', 'ill', 'come', 'I', 'm', 'new']",favorite world genuinely great service amenitite food exceptional gem new beautifully maintain sparklingly enviroment difficult air quality filtration system difference area outdoor air quality challenge gym spa salon absolutly worth visit appoint exceptional level service laundry butler service exceptional 360 resturant excellent job please wide array taste need genuinely cosmopolitan dining room personally enjoy great deal ill come I m new
