Customer Review,Date Of Stay,Customer Rating,Owner Responded
"Excellent and highly recommended!   We only spent two nights at The Oberoi in Delhi but left wanting to return.  This was our first time staying at an Oberoi property but would consider them on par with a Four Seasons or Mandarin.  The room was well appointed, the staff was excellent and went out of their way to make our stay enjoyable.  We only had breakfast at the hotel, but it has an excellent variety, and everything was delicious.    Special thanks to Vinayak and his team who made such a lasting impression and to Mr. Rathore for his management of such a fine hotel.  ",Date of stay: November 2022,bubble_50,
"This was our favourite hotel whilst we visited India. It has recently been refurbished to an extremely high standard and all the staff act with complete professionalism.  Our first stay was brief but managed to eat the chefs tasting menu which was brilliant.  Our second visit we were upgraded free of charge. We were celebrating our engagement and our room had a huge bouquet of flowers, cake and a petal filled bath. We ordered room service which was restaurant quality. I couldn't fault anything, This is an amazing example of how hospitality should be done!",Date of stay: August 2022,bubble_50,"Dear Guest,  Thank you for choosing to stay with The Oberoi, New Delhi. I take this opportunity to thank you for your time in evaluating our product and services.  We are grateful for the wonderful things you have said about team and services. I am so glad that you enjoyed the food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else.  I can say with humility that our people at all times live by this important organisational value.  This helps in creating a culture where we strive for excellence while building an everlasting bond with our guests. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"We stayed 2 nights at the New Delhi Oberoi. While there we were upgraded to the Presidential Suite and treated like royalty. The hotel is opulent, service is spot on spectacular. We only had a chance to eat breakfast but the food was delicious and provided a broad spectrum of choices. We would highly recommend this Oberoi and all Oberoi's based on our experience in New Delhi, Rathambore, Jaipur and Agra. Each was unique and simply fabulous.",Date of stay: November 2022,bubble_50,
The Very BEST!! Quality of service and food is Top Notch! Quality and spread of breakfast was very good. Bestest South Indian breakfast ever had. Service from the heart. And you can feel it. My compliments to the Management for ensuring this.,Date of stay: December 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager "
"The service , food, location, cleanliness is excellent . One of the best hotels in India. The spa , Pool , Gym, restaurants are amazing. When ever in a delhi do t waste your time comparing hotels just stay here . You will not regret the decision.",Date of stay: December 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the pool, Spa and food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager "
The Oberoi New Delhi is such a beautiful property.  The  tranquil setting makes it hard to believe you are in the middle of a big city.  The dining options were all wonderful with fantastic service throughout the property.  My room was very spacious and comfortable with an amazing view.,Date of stay: November 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are delighted to know that you enjoyed your stay with us.  We are glad that you noticed our attempt to provide our guests with lush green aesthetically landscaped and tranquil surroundings. The hotel has been designed so that guests can enjoy verdant views from every aspect.  We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"This was an absolutely perfect place to stay.  If you want an awesome suite room 501 is wrap around views. 2 bathrooms.  Kitchen etc We ate 2x at baoshaun on the top floor.  If u need to get a break from indian food for a bit, eat here.  Baoshaun is upperclassmen Chinese with impeccable service. Excellent place to eat.    Service at the hotel from top to bottom is top notch.  ",Date of stay: December 2022,bubble_50,"Dear Guest,   Thank you for your words of appreciation and encouragement. We are delighted to know that you enjoyed your stay with us.  We are grateful for the wonderful things you have said about the hotel, teams and the services provided. Yabez and Chef Kartik are delighted to know that you enjoyed your the food and service in Baoshuan, our Chinese restaurants. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.   We are delighted to have you as an “ambassador” for The Oberoi, New Delhi.  Sincere regards  Aditya Vikram Pandey Hotel Manager "
"The warmth of the all the staff (at 360, at the reception, in housekeeping) is very heartwarming. Makes the hotel feel like home. Urmila Ingtipi is particularly caring! Everyone is so smiling and so eager to make our stay comfortable. Such a joy to meet them! The view from our room on the 8th floor is spectacular! And, of course, the food is delicious. The staff in the restaurants and kitchen take into account our allergies snd preferences while crafting delicious meals! Wonderful stay!!",Date of stay: November 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   I sincerely thank you for the glowing comments about our staff, you have so fondly written about. This means a lot to all of our colleagues at The Oberoi, New Delhi. They join me in expressing gratitude. Credit for the personal attention, warmth and care comes from my colleagues’ passion to serve our guests and from the values and culture that Rai Bahadur M.S. Oberoi established and Mr. PRS Oberoi has built upon. We have very special people who live by the values of our founder, place our guests above all else and do everything they can to delight them. We take great pride in our team and the training we impart. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.  Sincere regards  Aditya Vikram Pandey Hotel Manager  "
We stayed at the Oberoi 3 times in November 2022.  The comfort and service in the hotel is unserpassed. All staff were most attentive and pleasant to deal with.  The resturants provided wonderful food.  The beds are the most comfortable we have ever slept in.  One of our party arrived at the hotel ill.  The hotel doctor was immediately available and the treatment was excellent. Health returned in a day.  When in Delhi in future we will always stay at the Oberoi.,Date of stay: November 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, and our room lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager  "
"Perhaps my favorite hotel in the world.  This is a genuinely great hotel.  The service, the amenitites and the food are all exceptional.  It really is a gem in New Delhi.  The hotel is beautifully maintained, sparklingly so, in an enviroment where that is sometimes difficult.  The air quality and filtration systems really do make a difference, in an area where the outdoor air quality is very challenging.  The gym, the spa and the salon are all absolutly worth a visit.  All well appointed and with exceptional levels of service.  The hotel laundry and butler service are exceptional.    The 360 resturant does an excellent job of pleasing a wide array of tastes and needs.  It is a genuinely cosmopolitan dining room and one I personally enjoy a great deal.  I'll always come back to the Oberoi when I'm in New Delhi.…",Date of stay: November 2022,bubble_50,"Dear Guest,   I am delighted you had a memorable stay with us and we were able to exceed your expectations.   The hotel is also equipped with new, clean air technology which provides clean air on par with global standards as set by WHO. We are happy to read your review on this state-of-the-art technology.  We are grateful for the wonderful things you have said about the hotel, teams and the services provided. I am so glad that you enjoyed the pool, Spa and food at our restaurants. Our Chefs are delighted to know that dining at our restaurant, lived up to your expectations for a perfect stay. At The Oberoi, New Delhi, we are committed to consistently providing warm, efficient and discreet service to our guests and their appreciation and acknowledgement is always our greatest reward. It has always been our endeavour to place our guests and their needs above all else. I have shared your feedback with everyone at the hotel, your appreciation means the world to our people and will inspire and encourage them in their continuous pursuit of excellence.  We are extremely delighted to have you as our “ambassador” for The Oberoi, New Delhi and look forward to welcoming you back home.   Sincere regards  Aditya Vikram Pandey Hotel Manager "
